Transaction_Amount,Transaction_Time,Sender_Age,Receiver_New_Account,Location_Risk_Score,Device_Change,Transaction_Frequency,Fraud
27411524.583817694,14.0,53.0,0,1,1,14.0,0
18209425.68667391,11.0,56.0,0,1,1,18.0,1
34195514.59179974,13.0,47.0,1,1,0,10.0,0
29921776.10783065,14.0,34.0,1,1,0,15.0,0
29914302.07676028,9.0,65.0,0,0,0,17.0,1
35314725.88978464,16.0,56.0,1,0,0,9.0,0
9641050.555760754,11.0,59.0,0,1,0,16.0,0
27137613.54180029,18.0,50.0,1,0,0,7.0,0
32560015.49168879,10.0,52.0,0,1,0,14.0,0
30525318.131375924,14.0,43.0,1,1,0,10.0,0
25062726.007771067,18.0,56.0,0,1,1,15.0,0
29565627.818523183,14.0,49.0,1,1,0,11.0,0
37232284.95559563,10.0,50.0,0,1,0,14.0,0
30350836.013126545,20.0,35.0,1,1,1,14.0,0
19400422.10031384,13.0,45.0,0,1,0,14.0,0
26107523.92769957,12.0,37.0,1,1,0,13.0,0
25769998.041250918,18.0,49.0,1,1,0,7.0,0
24209739.473028447,9.0,60.0,0,1,0,12.0,0
27617107.225723017,5.0,48.0,0,1,1,14.0,1
24225564.183202267,18.0,59.0,0,0,1,17.0,0
29439603.22220067,13.0,42.0,1,0,0,12.0,1
28033449.38027001,14.0,42.0,1,1,0,6.0,0
21661102.02948784,12.0,43.0,1,0,0,8.0,0
28471319.904068176,12.0,44.0,1,1,0,6.0,0
30149355.59283429,10.0,42.0,1,1,0,10.0,0
33613840.07593998,8.0,37.0,1,1,0,12.0,0
28688394.24682434,15.0,52.0,0,1,0,14.0,0
29746152.70240758,14.0,46.0,1,0,0,11.0,0
19824910.86163845,8.0,39.0,1,1,0,8.0,0
32035875.753725637,9.0,48.0,1,1,0,14.0,0
33976534.56494984,11.0,56.0,0,1,0,15.0,0
19768313.4293967,14.0,46.0,1,0,0,12.0,0
19161543.446728297,13.0,65.0,0,1,1,19.0,1
17899899.092519432,17.0,46.0,0,1,1,16.0,0
22662474.292057678,5.0,73.0,0,1,0,14.0,0
25850155.98517486,14.0,52.0,1,0,0,11.0,0
31389302.983717483,8.0,44.0,1,0,0,9.0,0
28809677.118704036,6.0,29.0,1,1,0,18.0,0
20473762.943724547,12.0,51.0,0,0,0,18.0,1
23648759.228808723,11.0,51.0,0,0,0,15.0,0
26887112.9184959,10.0,55.0,0,1,0,17.0,0
15818845.32817075,11.0,43.0,1,0,0,16.0,0
39514228.19448894,15.0,40.0,1,1,0,16.0,0
22407610.096357252,15.0,42.0,1,1,0,10.0,0
30615840.698090076,12.0,41.0,1,1,0,12.0,0
39932881.98803432,9.0,47.0,1,1,0,16.0,0
23305435.16391188,10.0,29.0,1,1,0,11.0,0
47171254.90180491,14.0,51.0,0,0,1,13.0,0
22351452.887031477,13.0,42.0,1,1,0,14.0,0
25116630.433717933,13.0,48.0,0,1,0,12.0,0
27532850.27975049,10.0,50.0,1,0,0,17.0,0
31231841.37744998,11.0,63.0,0,1,1,15.0,1
26912855.001070064,9.0,43.0,1,1,0,12.0,0
27601827.163497794,13.0,46.0,1,0,0,11.0,0
28975412.175157975,8.0,54.0,1,1,0,12.0,0
21536639.053906176,10.0,59.0,0,0,0,15.0,0
32064890.52772539,15.0,50.0,1,0,0,5.0,0
31489870.843529254,18.0,36.0,1,1,1,9.0,0
38702146.70805473,13.0,40.0,1,1,0,11.0,0
21476243.44469232,14.0,52.0,1,0,0,7.0,0
26866342.44577911,16.0,49.0,1,0,0,11.0,0
27516418.891727585,10.0,42.0,1,1,0,7.0,0
27514430.988651264,18.0,43.0,1,1,1,13.0,0
29147980.299484875,11.0,52.0,1,0,0,11.0,0
27656794.45003736,10.0,42.0,1,1,0,10.0,0
29992549.579464227,15.0,51.0,1,0,0,8.0,0
22953111.63961446,14.0,52.0,0,1,1,12.0,0
29997713.213898506,19.0,52.0,1,0,0,4.0,0
27313349.08862413,5.0,70.0,0,0,0,18.0,0
34660377.46174018,9.0,53.0,1,0,0,12.0,0
23576359.326182257,12.0,54.0,0,1,0,15.0,0
